Record ID,Institute,WorkArea,CESSATION YEAR,Reason for ceasing employment,Contributing Factors. Career Move - Public Sector ,Contributing Factors. Career Move - Private Sector ,Contributing Factors. Career Move - Self-employment,Contributing Factors. Ill Health,Contributing Factors. Maternity/Family,Contributing Factors. Dissatisfaction,Contributing Factors. Job Dissatisfaction,Contributing Factors. Interpersonal Conflict,Contributing Factors. Study,Contributing Factors. Travel,Contributing Factors. Other,Contributing Factors. NONE,Main Factor. Which of these was the main factor for leaving?,InstituteViews. Topic:1. I feel the senior leadership had a clear vision and direction,InstituteViews. Topic:2. I was given access to skills training to help me do my job better,InstituteViews. Topic:3. I was given adequate opportunities for personal development,InstituteViews. Topic:4. I was given adequate opportunities for promotion within %Institute]Q25LBL%,InstituteViews. Topic:5. I felt the salary for the job was right for the responsibilities I had,InstituteViews. Topic:6. The organisation recognised when staff did good work,InstituteViews. Topic:7. Management was generally supportive of me,InstituteViews. Topic:8. Management was generally supportive of my team,InstituteViews. Topic:9. I was kept informed of the changes in the organisation which would affect me,InstituteViews. Topic:10. Staff morale was positive within the Institute,InstituteViews. Topic:11. If I had a workplace issue it was dealt with quickly,InstituteViews. Topic:12. If I had a workplace issue it was dealt with efficiently,InstituteViews. Topic:13. If I had a workplace issue it was dealt with discreetly,WorkUnitViews. Topic:14. I was satisfied with the quality of the management and supervision within my work unit,WorkUnitViews. Topic:15. I worked well with my colleagues,WorkUnitViews. Topic:16. My job was challenging and interesting,WorkUnitViews. Topic:17. I was encouraged to use my initiative in the course of my work,WorkUnitViews. Topic:18. I had sufficient contact with other people in my job,WorkUnitViews. Topic:19. I was given adequate support and co-operation by my peers to enable me to do my job,WorkUnitViews. Topic:20. I was able to use the full range of my skills in my job,WorkUnitViews. Topic:21. I was able to use the full range of my abilities in my job. ; Category:Level of Agreement; Question:YOUR VIEWS ABOUT YOUR WORK UNIT],WorkUnitViews. Topic:22. I was able to use the full range of my knowledge in my job,WorkUnitViews. Topic:23. My job provided sufficient variety,WorkUnitViews. Topic:24. I was able to cope with the level of stress and pressure in my job,WorkUnitViews. Topic:25. My job allowed me to balance the demands of work and family to my satisfaction,WorkUnitViews. Topic:26. My supervisor gave me adequate personal recognition and feedback on my performance,"WorkUnitViews. Topic:27. My working environment was satisfactory e.g. sufficient space, good lighting, suitable seating and working area",WorkUnitViews. Topic:28. I was given the opportunity to mentor and coach others in order for me to pass on my skills and knowledge prior to my cessation date,WorkUnitViews. Topic:29. There was adequate communication between staff in my unit,WorkUnitViews. Topic:30. Staff morale was positive within my work unit,Induction. Did you undertake Workplace Induction?,InductionInfo. Topic:Did you undertake a Corporate Induction?,InductionInfo. Topic:Did you undertake a Institute Induction?,InductionInfo. Topic: Did you undertake Team Induction?,InductionInfo. Face to Face Topic:Did you undertake a Corporate Induction; Category:How it was conducted?,InductionInfo. On-line Topic:Did you undertake a Corporate Induction; Category:How it was conducted?,InductionInfo. Induction Manual Topic:Did you undertake a Corporate Induction?,InductionInfo. Face to Face Topic:Did you undertake a Institute Induction?,InductionInfo. On-line Topic:Did you undertake a Institute Induction?,InductionInfo. Induction Manual Topic:Did you undertake a Institute Induction?,InductionInfo. Face to Face Topic: Did you undertake Team Induction; Category?,InductionInfo. On-line Topic: Did you undertake Team Induction?process you undertook and how it was conducted.],InductionInfo. Induction Manual Topic: Did you undertake Team Induction?,Workplace. Topic:Did you and your Manager develop a Performance and Professional Development Plan (PPDP)?,Workplace. Topic:Does your workplace promote a work culture free from all forms of unlawful discrimination?,Workplace. Topic:Does your workplace promote and practice the principles of employment equity?,Workplace. Topic:Does your workplace value the diversity of its employees?,Workplace. Topic:Would you recommend the Institute as an employer to others?,Gender. What is your Gender?,CurrentAge. Current Age,Employment Type. Employment Type,Classification. Classification,LengthofServiceOverall. Overall Length of Service at Institute (in years),LengthofServiceCurrent. Length of Service at current workplace (in years)
6.34273756721501e+17,Southbank Institute of Technology,Non-Delivery (corporate),2011.0,Resignation,Career Move - Public Sector,-,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,-,-,-,Dissatisfaction with %[Institute]Q25LBL%,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Yes,No,Yes,No,-,-,-,Face to Face,-,-,-,-,-,No,Yes,Yes,No,No,Female,46  50,Permanent Full-time,Professional Officer (PO),5-6,5-6
6.34274542281501e+17,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,-,-,Ill Health,-,Contributing Factors. Dissatisfaction ,-,Interpersonal Conflict,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34274566132353e+17,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,-,-,Ill Health,-,Contributing Factors. Dissatisfaction ,-,Interpersonal Conflict,-,-,-,-,Dissatisfaction with %[Institute]Q25LBL%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
6.34275489048845e+17,Southern Queensland Institute of TAFE,Delivery (teaching),2010.0,Resignation,-,-,-,-,Maternity/Family,Contributing Factors. Dissatisfaction ,Job Dissatisfaction,Interpersonal Conflict,-,-,-,-,Dissatisfaction with %[Institute]Q25LBL%,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Yes,Yes,No,No,Face to Face,-,-,-,-,-,-,-,-,Yes,Yes,Yes,Yes,No,Female,36  40,Temporary Full-time,Teacher (including LVT),Less than 1 year,Less than 1 year
6.34280719819371e+17,Wide Bay Institute of TAFE,Non-Delivery (corporate),,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Yes,No,Yes,No,-,-,-,Face to Face,-,-,-,-,-,Yes,Yes,Yes,Yes,Yes,Female,36  40,Permanent Full-time,Administration (AO),11-20,11-20
6.34281400568746e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,,Strongly Agree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Yes,No,Yes,Yes,-,-,-,Face to Face,-,-,Face to Face,-,-,Yes,Yes,Yes,Yes,Yes,Male,41  45,Permanent Full-time,Professional Officer (PO),3-4,3-4
6.34281450090309e+17,Mount Isa Institute of TAFE,Non-Delivery (corporate),2010.0,Termination,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Not Applicable,Not Applicable,Not Applicable,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Yes,No,Yes,Yes,-,-,-,-,-,-,-,-,-,No,Yes,Yes,Yes,Yes,Female,51-55,Temporary Full-time,Administration (AO),1-2,1-2
6.34284989401715e+17,Southbank Institute of Technology,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Not Applicable,Not Applicable,Not Applicable,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Disagree,Yes,Yes,No,No,Face to Face,-,-,-,-,-,-,-,-,No,Yes,Yes,Yes,No,Male,36  40,Contract/casual,Executive (SES/SO),Less than 1 year,Less than 1 year
6.34285674608023e+17,Brisbane North Institute of TAFE,Delivery (teaching),2010.0,Contract Expired,,,,,,,,,,,,,,Neutral,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Yes,,Yes,,-,-,-,Face to Face,-,-,-,-,-,No,Yes,Yes,No,No,Male,41  45,Temporary Full-time,Workplace Training Officer,1-2,1-2
6.34285909851304e+17,Southbank Institute of Technology,Non-Delivery (corporate),2011.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,Other,-,Other,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Yes,No,Yes,Yes,-,-,-,Face to Face,-,-,Face to Face,-,-,Yes,Yes,Yes,Yes,Yes,Female,26  30,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
6.34285952710835e+17,Southbank Institute of Technology,Non-Delivery (corporate),2011.0,Transfer,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34286548594429e+17,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2010.0,Contract Expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34286658782965e+17,Southbank Institute of Technology,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34297824199371e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),,Resignation,-,-,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,Travel,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34298884567184e+17,Central Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,Job Dissatisfaction,Neutral,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Strongly Agree,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Yes,Yes,Yes,No,Face to Face,-,-,Face to Face,-,-,-,-,-,No,Yes,Yes,No,Yes,Female,26  30,Permanent Full-time,Administration (AO),7-10,7-10
6.34304735958746e+17,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,,,,,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Neutral,Disagree,Neutral,Strongly Disagree,Agree,Neutral,Agree,Agree,Strongly Disagree,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Yes,No,Yes,Yes,-,-,-,Face to Face,-,-,Face to Face,-,-,No,Yes,Yes,Yes,No,Male,21  25,Contract/casual,Technical Officer (TO),Less than 1 year,Less than 1 year
6.34309981362554e+17,Central Queensland Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,-,-,-,-,-,-,-,-,-,-,NONE,,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Yes,No,Yes,Yes,-,-,-,Face to Face,-,-,Face to Face,-,-,Yes,Yes,Yes,Yes,Yes,Male,56 or older,Permanent Full-time,Teacher (including LVT),11-20,More than 20 years
6.3431012128271e+17,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,,,,,Agree,Not Applicable,Not Applicable,Not Applicable,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Not Applicable,Not Applicable,Not Applicable,Agree,Agree,Agree,Agree,Agree,Agree,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Agree,Strongly Agree,Strongly Agree,Agree,Not Applicable,Agree,Agree,No,,,,,,,,,,,,,No,Yes,Yes,Yes,Yes,Female,41  45,Temporary Part-time,Administration (AO),Less than 1 year,Less than 1 year
6.34310942921246e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,-,Travel,-,-,,Neutral,Agree,Neutral,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,No,Yes,No,-,-,-,-,On-line,-,-,-,-,No,Yes,Yes,No,Yes,Male,41  45,Temporary Full-time,Operational (OO),11-20,11-20
6.34314358367965e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,,Strongly Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Yes,Yes,Yes,Yes,Face to Face,-,-,Face to Face,-,-,Face to Face,-,-,Yes,Yes,Yes,Yes,Yes,Female,31  35,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
6.34315046486772e+17,Central Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,,,,,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Yes,,Yes,,-,-,-,Face to Face,-,-,-,-,-,Yes,No,No,No,Yes,Female,36  40,Contract/casual,Administration (AO),1-2,Less than 1 year
6.34316886387496e+17,Southern Queensland Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,Career Move - Private Sector,-,-,Maternity/Family,-,-,-,-,-,-,-,Career Move - Private Sector,Agree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Yes,Yes,Yes,Yes,Face to Face,-,-,Face to Face,-,-,Face to Face,-,-,Yes,Yes,,,,Male,46  50,Permanent Full-time,Teacher (including LVT),3-4,3-4
6.34317688380679e+17,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,Study,-,-,-,Career Move - Private Sector,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,,,,,,,,,,,,,No,Yes,Yes,Yes,Yes,Female,26  30,Permanent Full-time,Administration (AO),3-4,Less than 1 year
6.34317845042866e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Transfer,-,-,-,-,Maternity/Family,-,-,-,-,-,-,-,,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Yes,Yes,Yes,Yes,Face to Face,-,-,,-,-,-,-,-,Yes,Yes,Yes,Yes,Yes,Female,56 or older,Permanent Full-time,Teacher (including LVT),5-6,1-2
6.34322927651559e+17,Southern Queensland Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,-,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,,Disagree,Agree,Disagree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Neutral,Agree,Agree,Yes,Yes,Yes,Yes,Face to Face,-,-,,-,-,-,-,-,No,No,Yes,No,Yes,Male,51-55,Temporary Full-time,Teacher (including LVT),Less than 1 year,Less than 1 year
6.3432311502146e+17,Southern Queensland Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,-,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,,Disagree,Agree,Strongly Disagree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Neutral,Agree,Agree,Yes,Yes,Yes,Yes,Face to Face,-,-,,-,-,-,-,-,No,No,Yes,No,Yes,Male,51-55,Temporary Full-time,Teacher (including LVT),Less than 1 year,Less than 1 year
6.34323709021402e+17,Southern Queensland Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,-,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,,Disagree,Agree,Strongly Disagree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Neutral,Agree,Agree,Yes,Yes,Yes,Yes,Face to Face,-,-,,-,-,-,-,-,No,No,Yes,No,Yes,Male,51-55,Temporary Full-time,Teacher (including LVT),Less than 1 year,Less than 1 year
6.34323732465523e+17,Southern Queensland Institute of TAFE,Delivery (teaching),2011.0,Termination,,,,,,,,,,,,,,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree,Not Applicable,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree,Not Applicable,,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree,Not Applicable,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree,Not Applicable,Strongly Agree,Agree,Disagree,,Strongly Disagree,Yes,Yes,Yes,Yes,Face to Face,On-line,Induction Manual,,On-line,,-,-,-,Yes,Yes,Yes,Yes,Yes,Female,46  50,Permanent Full-time,Administration (AO),7-10,7-10
6.34323806434371e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Yes,No,Yes,Yes,-,-,-,,-,-,-,-,-,Yes,Yes,Yes,Yes,Yes,Female,46  50,Contract/casual,Administration (AO),3-4,3-4
6.34326352243491e+17,Southbank Institute of Technology,Non-Delivery (corporate),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,Other,-,Other,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,No,Yes,Yes,-,-,-,,-,-,-,-,-,Yes,Yes,Yes,Yes,Yes,Female,21  25,Temporary Full-time,Administration (AO),1-2,1-2
6.3432637818396e+17,Southbank Institute of Technology,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,Maternity/Family,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
6.3432645414859e+17,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,Ill Health,-,-,-,-,-,-,Other,-,Ill Health,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,Yes,Yes,Face to Face,-,-,,-,-,-,-,-,Yes,Yes,Yes,Yes,Yes,Female,41  45,Temporary Part-time,Operational (OO),1-2,1-2
6.34328087765991e+17,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,Ill Health,-,-,-,-,-,-,-,-,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Not Applicable,Strongly Agree,Not Applicable,Strongly Agree,Strongly Agree,Not Applicable,Strongly Agree,Strongly Agree,Not Applicable,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Not Applicable,Not Applicable,Neutral,Strongly Agree,Strongly Agree,Not Applicable,Strongly Agree,Not Applicable,Yes,Yes,Yes,Yes,-,On-line,-,,-,-,-,-,-,No,Yes,Yes,Yes,Yes,Female,51-55,Temporary Part-time,Operational (OO),Less than 1 year,Less than 1 year
6.34328171329844e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,Study,-,-,-,,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Yes,No,Yes,Yes,-,-,-,,-,-,-,-,-,Yes,Yes,Yes,Yes,Yes,Female,36  40,Temporary Full-time,Administration (AO),3-4,3-4
6.34328202850835e+17,Brisbane North Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,-,-,-,-,Contributing Factors. Dissatisfaction ,Job Dissatisfaction,-,-,-,-,-,Dissatisfaction with %[Institute]Q25LBL%,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Yes,No,Yes,Yes,-,-,-,,-,-,-,-,-,Yes,No,No,No,No,Female,51-55,Temporary Full-time,Teacher (including LVT),3-4,3-4
6.3432828844021e+17,Brisbane North Institute of TAFE,Delivery (teaching),,Resignation,-,-,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34329804601719e+17,Southern Queensland Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,Yes,Yes,Face to Face,-,-,,-,-,-,-,-,Yes,Yes,Yes,Yes,Yes,Male,46  50,Permanent Full-time,Teacher (including LVT),5-6,Less than 1 year
6.34329959592554e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,Study,-,-,-,,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,No,Yes,Yes,-,-,-,,-,-,-,-,-,Yes,Yes,Yes,Yes,Yes,Male,21  25,Permanent Full-time,Administration (AO),3-4,3-4
6.34333279253906e+17,Southbank Institute of Technology,Non-Delivery (corporate),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34333408714687e+17,Southbank Institute of Technology,Non-Delivery (corporate),2011.0,Transfer,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Neutral,Yes,Yes,Yes,Yes,Face to Face,-,-,,-,-,-,-,-,Yes,Yes,Yes,Yes,Yes,Female,51-55,Permanent Full-time,Professional Officer (PO),11-20,11-20
6.34335805202554e+17,Metropolitan South Institute of TAFE,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,,,,,,,,,,,,,Strongly Agree,,,,,,,,,,,,Strongly Disagree,,,Strongly Agree,,,,,,,No,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Female,41  45,Temporary Full-time,Teacher (including LVT),3-4,5-6
